,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
129,Héctor Herrera,Central Midfield,29,22000000,Portugal,Liga NOS,FC Porto,Spain,LaLiga,Atlético de Madrid,free transfer,2019
130,Alfonso Pedraza,Left-Back,23,22000000,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Real Betis Balompié,loan transfer,2019
131,André Silva,Centre-Forward,23,22000000,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,loan transfer,2019
132,Renan Lodi,Left-Back,21,4000000,Brazil,Série A,Club Athletico Paranaense,Spain,LaLiga,Atlético de Madrid,21000000,2019
133,Jarrod Bowen,Right Winger,23,10000000,England,Championship,Hull City,England,Premier League,West Ham United,21000000,2019
134,Luis Muriel,Centre-Forward,28,13000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,Atalanta BC,21000000,2019
135,Amadou Diawara,Defensive Midfield,21,15000000,Italy,Serie A,SSC Napoli,Italy,Serie A,AS Roma,21000000,2019
136,Raphinha,Right Winger,22,8000000,Portugal,Liga NOS,Sporting CP,France,Ligue 1,Stade Rennais FC,21000000,2019
137,Stanislav Lobotka,Defensive Midfield,25,20000000,Spain,LaLiga,Celta de Vigo,Italy,Serie A,SSC Napoli,21000000,2019
138,Yacine Brahimi,Left Winger,29,21000000,Portugal,Liga NOS,FC Porto,Qatar,Stars League,Al-Rayyan SC,free transfer,2019
139,Kasper Dolberg,Centre-Forward,21,18000000,Netherlands,Eredivisie,Ajax Amsterdam,France,Ligue 1,OGC Nice,20000000,2019
140,Edmond Tapsoba,Centre-Back,20,4000000,Portugal,Liga NOS,Vitória Guimarães SC,Germany,Bundesliga,Bayer 04 Leverkusen,20000000,2019
141,Emil Audero,Goalkeeper,22,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,UC Sampdoria,20000000,2019
142,Felipe,Centre-Back,30,20000000,Portugal,Liga NOS,FC Porto,Spain,LaLiga,Atlético de Madrid,20000000,2019
143,Raúl de Tomás,Centre-Forward,24,20000000,Spain,LaLiga,Real Madrid,Portugal,Liga NOS,SL Benfica,20000000,2019
144,Dodi Lukébakio,Right Winger,21,18000000,England,Premier League,Watford FC,Germany,Bundesliga,Hertha BSC,20000000,2019
145,Maximilian Philipp,Second Striker,25,13000000,Germany,Bundesliga,Borussia Dortmund,Russia,Premier Liga,Dinamo Moscow,20000000,2019
146,Renato Sanches,Central Midfield,22,18000000,Germany,Bundesliga,Bayern Munich,France,Ligue 1,LOSC Lille,20000000,2019
147,Youssef En-Nesyri,Centre-Forward,22,12000000,Spain,LaLiga,CD Leganés,Spain,LaLiga,Sevilla FC,20000000,2019
148,Bruno Guimarães,Defensive Midfield,22,20000000,Brazil,Série A,Club Athletico Paranaense,France,Ligue 1,Olympique Lyon,20000000,2019
149,Ademola Lookman,Second Striker,21,20000000,England,Premier League,Everton FC,Germany,Bundesliga,RB Leipzig,18000000,2019
150,Diadié Samassékou,Defensive Midfield,23,20000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,TSG 1899 Hoffenheim,14000000,2019
151,Andrea Petagna,Centre-Forward,24,20000000,Italy,Serie A,Atalanta BC,Italy,Serie A,SPAL,12000000,2019
152,João Pedro,Centre-Forward,18,20000000,Brazil,Série A,Fluminense Football Club,England,Premier League,Watford FC,11000000,2019
153,David Luiz,Centre-Back,32,20000000,England,Premier League,Chelsea FC,England,Premier League,Arsenal FC,8000000,2019
154,Aarón Martín,Left-Back,22,20000000,Spain,LaLiga,RCD Espanyol Barcelona,Germany,Bundesliga,1.FSV Mainz 05,6000000,2019
155,Chris Smalling,Centre-Back,29,20000000,England,Premier League,Manchester United,Italy,Serie A,AS Roma,3000000,2019
156,Giovanni Simeone,Centre-Forward,24,20000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Cagliari Calcio,3000000,2019
157,Patrick Cutrone,Centre-Forward,22,20000000,England,Premier League,Wolverhampton Wanderers,Italy,Serie A,ACF Fiorentina,3000000,2019
158,Marko Grujić,Defensive Midfield,23,20000000,England,Premier League,Liverpool FC,Germany,Bundesliga,Hertha BSC,2000000,2019
159,Danny Rose,Left-Back,29,20000000,England,Premier League,Tottenham Hotspur,England,Premier League,Newcastle United,2000000,2019
160,Jordan Veretout,Defensive Midfield,26,20000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,AS Roma,1000000,2019
161,Mario Balotelli,Centre-Forward,29,20000000,France,Ligue 1,Olympique Marseille,Italy,Serie A,Brescia Calcio,free transfer,2019
162,Diego Godín,Centre-Back,33,20000000,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Inter Milan,free transfer,2019
163,Carles Aleñá,Central Midfield,21,20000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Real Betis Balompié,loan transfer,2019
164,Álvaro Odriozola,Right-Back,24,20000000,Spain,LaLiga,Real Madrid,Germany,Bundesliga,Bayern Munich,loan transfer,2019
165,Lucas Tousart,Defensive Midfield,22,20000000,Germany,Bundesliga,Hertha BSC,France,Ligue 1,Olympique Lyon,loan transfer,2019
166,Alessandro Florenzi,Right-Back,28,20000000,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,loan transfer,2019
167,Daniel Podence,Left Winger,24,6000000,Greece,Super League 1,Olympiacos Piraeus,England,Premier League,Wolverhampton Wanderers,19000000,2019
168,Merih Demiral,Centre-Back,21,15000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Juventus FC,19000000,2019
169,Sofyan Amrabat,Defensive Midfield,23,10000000,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,19000000,2019
170,Oliver McBurnie,Centre-Forward,23,8000000,Wales,Championship,Swansea City,England,Premier League,Sheffield United,19000000,2019
171,Valentino Lazaro,Right-Back,23,19000000,Italy,Serie A,Inter Milan,England,Premier League,Newcastle United,1000000,2019
172,Yusuf Yazici,Attacking Midfield,22,13000000,Turkey,Süper Lig,Trabzonspor,France,Ligue 1,LOSC Lille,18000000,2019
173,Salomón Rondón,Centre-Forward,29,15000000,England,Championship,West Bromwich Albion,China,Super League,Dalian Professional,18000000,2019
174,Guus Til,Attacking Midfield,21,6000000,Netherlands,Eredivisie,AZ Alkmaar,Russia,Premier Liga,Spartak Moscow,18000000,2019
175,Guillermo Maripán,Centre-Back,25,15000000,Spain,LaLiga,Deportivo Alavés,Monaco,Ligue 1,AS Monaco,18000000,2019
176,Aurélien Tchouaméni,Defensive Midfield,20,14000000,France,Ligue 1,FC Girondins Bordeaux,Monaco,Ligue 1,AS Monaco,18000000,2019
177,Matheus Cunha,Centre-Forward,20,13000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Hertha BSC,18000000,2019
178,Martin Braithwaite,Centre-Forward,28,10000000,Spain,LaLiga,CD Leganés,Spain,LaLiga,FC Barcelona,18000000,2019
179,Andrea Petagna,Centre-Forward,24,18000000,Italy,Serie A,SPAL,Italy,Serie A,SSC Napoli,16000000,2019
180,Nahitan Nández,Central Midfield,23,18000000,Argentina,Superliga,CA Boca Juniors,Italy,Serie A,Cagliari Calcio,16000000,2019
181,Quincy Promes,Left Winger,27,18000000,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,15000000,2019
182,Manuel Lazzari,Right-Back,25,18000000,Italy,Serie A,SPAL,Italy,Serie A,SS Lazio,15000000,2019
183,Leander Dendoncker,Defensive Midfield,24,18000000,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Wolverhampton Wanderers,13000000,2019
