;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
419;Kristijan Jakic;Defensive Midfield;25;9000000;Croatia;SuperSport HNL;GNK Dinamo Zagreb;Germany;Bundesliga;Eintracht Frankfurt;3000000
462;Enis Bardhi;Attacking Midfield;27;8000000;Spain;LaLiga2;Levante UD;Turkey;Süper Lig;Trabzonspor;3000000
463;Kastriot Imeri;Central Midfield;22;8000000;Switzerland;Super League;Servette FC;Switzerland;Super League;BSC Young Boys;3000000
499;Guus Til;Attacking Midfield;24;7000000;Russia;Premier Liga;Spartak Moscow;Netherlands;Eredivisie;PSV Eindhoven;3000000
525;Marquinhos;Right Winger;19;7000000;Brazil;Série A;São Paulo Futebol Clube;England;Premier League;Arsenal FC;3000000
526;Raoul Bellanova;Right-Back;22;7000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;Inter Milan;3000000
527;Willian Arão;Defensive Midfield;30;7000000;Brazil;Série A;CR Flamengo;Turkey;Süper Lig;Fenerbahce;3000000
528;Morten Thorsby;Central Midfield;26;7000000;Italy;Serie A;UC Sampdoria;Germany;Bundesliga;1.FC Union Berlin;3000000
529;Théo Bongonda;Right Winger;26;7000000;Belgium;Jupiler Pro League;KRC Genk;Spain;LaLiga;Cádiz CF;3000000
530;Adam Ounas;Right Winger;25;7000000;Italy;Serie A;SSC Napoli;France;Ligue 1;LOSC Lille;3000000
531;Wesley;Left Winger;23;7000000;Brazil;Paulistão A1 - Primeira fase;Sociedade Esportiva Palmeiras;Brazil;Campeonato Mineiro;Cruzeiro Esporte Clube;3000000
572;Mostafa Mohamed;Centre-Forward;24;6000000;Egypt;Premier League;Zamalek SC;Turkey;Süper Lig;Galatasaray;3000000
573;Nicolás Castro;Attacking Midfield;21;6000000;Argentina;Liga Profesional;CA Newell's Old Boys;Belgium;Jupiler Pro League;KRC Genk;3000000
574;Andreaw Gravillon;Centre-Back;24;6000000;Italy;Serie A;Inter Milan;France;Ligue 1;Stade Reims;3000000
575;Dion Beljo;Centre-Forward;20;6000000;Croatia;SuperSport HNL;NK Osijek;Germany;Bundesliga;FC Augsburg;3000000
610;Fredrik Midtsjö;Central Midfield;28;6000000;Netherlands;Eredivisie;AZ Alkmaar;Turkey;Süper Lig;Galatasaray;3000000
611;Alistair Johnston;Right-Back;24;6000000;Canada;MLS;CF Montréal;Scotland;Premiership;Celtic FC;3000000
612;Darwin Machís;Left Winger;29;6000000;Spain;LaLiga2;Granada CF;Mexico;Liga MX Clausura;FC Juárez;3000000
613;Gamid Agalarov;Centre-Forward;21;6000000;Russia;1.Division;FK Ufa;Russia;Premier Liga;Akhmat Grozny;3000000
614;Amir Hadziahmetovic;Defensive Midfield;25;6000000;Turkey;Süper Lig;Konyaspor;Turkey;Süper Lig;Besiktas JK;3000000
615;Lucas Piton;Left-Back;22;6000000;Brazil;Paulistão A1 - Primeira fase;Sport Club Corinthians Paulista;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;3000000
616;Gonzalo Plata;Right Winger;21;6000000;Portugal;Liga Portugal;Sporting CP;Spain;LaLiga;Real Valladolid CF;3000000
677;Florin Tanase;Attacking Midfield;27;5000000;Romania;SuperLiga;FCSB;United Arab Emirates;UAE Pro League;Al-Jazira (Abu Dhabi);3000000
721;Adrien Thomasson;Attacking Midfield;29;5000000;France;Ligue 1;RC Strasbourg Alsace;France;Ligue 1;RC Lens;3000000
722;Luca Orellano;Right Winger;22;5000000;Argentina;Liga Profesional;CA Vélez Sarsfield;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;3000000
723;Maxim Leitsch;Centre-Back;24;5000000;Germany;Bundesliga;VfL Bochum;Germany;Bundesliga;1.FSV Mainz 05;3000000
724;Stephen Eustaquio;Central Midfield;25;5000000;Portugal;Liga Portugal;FC Paços de Ferreira;Portugal;Liga Portugal;FC Porto;3000000
725;Rúben Semedo;Centre-Back;28;5000000;Greece;Super League 1;Olympiacos Piraeus;Qatar;Stars League;Al-Duhail SC;3000000
726;Lincoln;Left-Back;23;5000000;Portugal;Liga Portugal;CD Santa Clara;Turkey;Süper Lig;Fenerbahce;3000000
727;Stephen Eustaquio;Central Midfield;25;5000000;Portugal;Liga Portugal;FC Paços de Ferreira;Portugal;Liga Portugal;FC Porto;3000000
728;Jackson Muleka;Centre-Forward;22;5000000;Belgium;Jupiler Pro League;Standard Liège;Turkey;Süper Lig;Besiktas JK;3000000
729;Josh Cullen;Central Midfield;26;5000000;Belgium;Jupiler Pro League;RSC Anderlecht;England;Championship;Burnley FC;3000000
730;Pablo Maffeo;Right-Back;24;5000000;Germany;Bundesliga;VfB Stuttgart;Spain;LaLiga;RCD Mallorca;3000000
731;Mario Vuskovic;Centre-Back;20;5000000;Croatia;SuperSport HNL;HNK Hajduk Split;Germany;2. Bundesliga;Hamburger SV;3000000
732;Simon Banza;Centre-Forward;25;5000000;France;Ligue 1;RC Lens;Portugal;Liga Portugal;SC Braga;3000000
733;Iké Ugbo;Centre-Forward;23;5000000;Belgium;Jupiler Pro League;KRC Genk;France;Ligue 1;ESTAC Troyes;3000000
734;Roger Martí;Centre-Forward;31;5000000;Spain;LaLiga2;Levante UD;Spain;LaLiga;Elche CF;3000000
842;Adonis Frías;Centre-Back;24;4000000;Argentina;Liga Profesional;Defensa y Justicia;Mexico;Liga MX Clausura;Club León FC;3000000
843;Andraz Sporar;Centre-Forward;28;4000000;Portugal;Liga Portugal;Sporting CP;Greece;Super League 1;Panathinaikos Athens;3000000
913;Martin Hongla;Defensive Midfield;24;4000000;Belgium;Jupiler Pro League;Royal Antwerp FC;Italy;Serie A;Hellas Verona;3000000
914;Marcus Forss;Centre-Forward;23;4000000;England;Premier League;Brentford FC;England;Championship;Middlesbrough FC;3000000
915;Hidemasa Morita;Defensive Midfield;27;4000000;Portugal;Liga Portugal;CD Santa Clara;Portugal;Liga Portugal;Sporting CP;3000000
916;Carlos González;Centre-Forward;29;4000000;Mexico;Liga MX Clausura;Tigres UANL;Mexico;Liga MX Clausura;Deportivo Toluca;3000000
917;Emil Bohinen;Central Midfield;23;4000000;Russia;Premier Liga;CSKA Moscow;Italy;Serie A;US Salernitana 1919;3000000
918;Agustín Urzi;Left Winger;22;4000000;Argentina;Liga Profesional;CA Banfield;Mexico;Liga MX Clausura;FC Juárez;3000000
919;Rabbi Matondo;Right Winger;21;4000000;Germany;Bundesliga;FC Schalke 04;Scotland;Premiership;Rangers FC;3000000
920;Alejandro Pozo;Right-Back;23;4000000;Spain;LaLiga;Sevilla FC;Spain;LaLiga;UD Almería;3000000
921;Luuk de Jong;Centre-Forward;31;4000000;Spain;LaLiga;Sevilla FC;Netherlands;Eredivisie;PSV Eindhoven;3000000
922;Néstor Araújo;Centre-Back;30;4000000;Spain;LaLiga;Celta de Vigo;Mexico;Liga MX Clausura;CF América;3000000
1042;Carlos Rotondi;Left Winger;25;3000000;Argentina;Liga Profesional;Defensa y Justicia;Mexico;Liga MX Clausura;CD Cruz Azul;3000000
1043;Marcelino Núñez;Central Midfield;22;1000000;Chile;Primera División;CD Universidad Católica;England;Championship;Norwich City;3000000
1044;Joel Ordóñez;Centre-Back;18;600k;Ecuador;Serie A Segunda Etapa;Independiente del Valle;Belgium;Jupiler Pro League;Club Brugge KV;3000000
1045;Charles Pickel;Defensive Midfield;25;2000000;Portugal;Liga Portugal;FC Famalicão;Italy;Serie A;US Cremonese;3000000
1046;Ozan Tufan;Central Midfield;27;3000000;Turkey;Süper Lig;Fenerbahce;England;Championship;Hull City;3000000
1049;Craig Dawson;Centre-Back;32;2000000;England;Premier League;West Ham United;England;Premier League;Wolverhampton Wanderers;3000000
1050;Felipe Carballo;Central Midfield;26;2000000;Uruguay;Primera División Apertura;Club Nacional;Brazil;Campeonato Gaúcho;Grêmio Foot-Ball Porto Alegrense;3000000
1051;Samet Akaydin;Centre-Back;28;2000000;Turkey;Süper Lig;Adana Demirspor;Turkey;Süper Lig;Fenerbahce;3000000
1052;Emiliano Rigoni;Right Winger;29;3000000;Brazil;Série A;São Paulo Futebol Clube;United States;MLS;Austin FC;3000000
1053;Josh Doig;Left-Back;20;3000000;Scotland;Premiership;Hibernian FC;Italy;Serie A;Hellas Verona;3000000
1054;Eren Elmali;Left-Back;21;3000000;Turkey;Süper Lig;Kasimpasa;Turkey;Süper Lig;Trabzonspor;3000000
1056;Robin Olsen;Goalkeeper;32;2000000;Italy;Serie A;AS Roma;England;Premier League;Aston Villa;3000000
1057;Darko Churlinov;Left Winger;22;1000000;Germany;Bundesliga;VfB Stuttgart;England;Championship;Burnley FC;3000000
1058;Emanuel Aiwu;Centre-Back;21;3000000;Austria;Bundesliga;Rapid Vienna;Italy;Serie A;US Cremonese;3000000
1059;Lukas Lerager;Central Midfield;28;3000000;Italy;Serie B;Genoa CFC;Denmark;Superligaen;FC Copenhagen;3000000
1060;Lewis Ferguson;Central Midfield;22;2000000;Scotland;Premiership;Aberdeen FC;Italy;Serie A;Bologna FC 1909;3000000
1061;Marko Milovanovic;Centre-Forward;18;1000000;Serbia;Super liga Srbije;FK Partizan Belgrade;Spain;LaLiga;UD Almería;3000000
1062;Jackson Porozo;Centre-Back;21;3000000;Portugal;Liga Portugal;Boavista FC;France;Ligue 1;ESTAC Troyes;3000000
1063;Karim Konaté;Centre-Forward;18;600k;Cote d'Ivoire;Without League;ASEC Mimosas;Austria;Bundesliga;Red Bull Salzburg;3000000
1064;Francesco Caputo;Centre-Forward;34;2000000;Italy;Serie A;US Sassuolo;Italy;Serie A;UC Sampdoria;3000000
1065;Pedrinho;Left Winger;22;1000000;Brazil;Série A;Red Bull Bragantino;Russia;Premier Liga;Lokomotiv Moscow;3000000
1066;Rodrigão;Centre-Back;26;3000000;Russia;Premier Liga;FC Sochi;Russia;Premier Liga;Zenit St. Petersburg;3000000
1067;Anton Zinkovskiy;Left Winger;26;3000000;Russia;Premier Liga;Krylya Sovetov Samara;Russia;Premier Liga;Spartak Moscow;3000000
1068;Daniil Utkin;Central Midfield;22;3000000;Russia;Premier Liga;FK Krasnodar;Russia;Premier Liga;FK Rostov;3000000
1168;Carlos Andrés Gómez;Right Winger;20;2000000;Colombia;Liga Dimayor I;Millonarios FC;United States;MLS;Real Salt Lake City;3000000
1169;Harrison Ashby;Right-Back;21;300k;England;Premier League 2;West Ham United U21;England;Premier League;Newcastle United;3000000
1170;Jimmy-Jay Morgan;Centre-Forward;17;-;England;Premier League 2;Southampton FC B;England;Premier League 2;Chelsea FC U21;3000000
1173;Jhoanner Chávez;Left-Back;20;2000000;Ecuador;Serie A Primera Etapa;Independiente del Valle;Brazil;Nordeste - Fase de Grupos;Esporte Clube Bahia;3000000
1174;João Klauss;Centre-Forward;25;3000000;Germany;Bundesliga;TSG 1899 Hoffenheim;United States;Without League;St. Louis CITY SC;3000000
1175;Manu García;Attacking Midfield;24;3000000;Spain;LaLiga2;Sporting Gijón;Greece;Super League 1;Aris Thessaloniki;3000000
1176;Isak Hien;Centre-Back;23;1000000;Sweden;Allsvenskan;Djurgårdens IF;Italy;Serie A;Hellas Verona;3000000
1186;Arkadiusz Reca;Left-Back;27;3000000;Italy;Serie A;Atalanta BC;Italy;Serie A;Spezia Calcio;3000000
1187;Josha Vagnoman;Right-Back;21;3000000;Germany;2. Bundesliga;Hamburger SV;Germany;Bundesliga;VfB Stuttgart;3000000
1188;Jean-Eudes Aholou;Defensive Midfield;28;3000000;Monaco;Ligue 1;AS Monaco;France;Ligue 1;RC Strasbourg Alsace;3000000
1189;Emil Konradsen Ceide;Left Winger;20;2000000;Norway;Eliteserien;Rosenborg BK;Italy;Serie A;US Sassuolo;3000000
1190;Abdou Harroui;Central Midfield;24;3000000;Netherlands;Eredivisie;Sparta Rotterdam;Italy;Serie A;US Sassuolo;3000000
1191;Liberato Cacace;Left-Back;21;2000000;Belgium;Jupiler Pro League;Sint-Truidense VV;Italy;Serie A;FC Empoli;3000000
1192;Mamadou Coulibaly;Central Midfield;23;2000000;Italy;Serie A;Udinese Calcio;Italy;Serie A;US Salernitana 1919;3000000
1193;Leonardo Mancuso;Centre-Forward;30;2000000;Italy;Serie A;FC Empoli;Italy;Serie A;AC Monza;3000000
1194;Elias Cobbaut;Centre-Back;24;3000000;Belgium;Jupiler Pro League;RSC Anderlecht;Italy;Serie B;Parma Calcio 1913;3000000
1195;Lucas Fasson;Centre-Back;21;1000000;Brazil;Série A;Club Athletico Paranaense;Russia;Premier Liga;Lokomotiv Moscow;3000000
1196;Robert Ljubicic;Left-Back;22;2000000;Austria;Bundesliga;Rapid Vienna;Croatia;SuperSport HNL;GNK Dinamo Zagreb;3000000
1197;Ishaq Abdulrazak;Right Midfield;20;3000000;Sweden;Allsvenskan;IFK Norrköping;Belgium;Jupiler Pro League;RSC Anderlecht;3000000
1198;Jayden Oosterwolde;Left-Back;21;1000000;Netherlands;Eredivisie;Twente Enschede FC;Italy;Serie B;Parma Calcio 1913;3000000
1199;Osman Bukari;Right Winger;23;3000000;Belgium;Jupiler Pro League;KAA Gent;Serbia;Super liga Srbije;Red Star Belgrade;3000000
1200;Bafodé Diakité;Right-Back;21;3000000;France;Ligue 1;FC Toulouse;France;Ligue 1;LOSC Lille;3000000
1201;Abdou Harroui;Central Midfield;24;3000000;Netherlands;Eredivisie;Sparta Rotterdam;Italy;Serie A;US Sassuolo;3000000
1202;Liberato Cacace;Left-Back;21;2000000;Belgium;Jupiler Pro League;Sint-Truidense VV;Italy;Serie A;FC Empoli;3000000
1203;Thierno Baldé;Right-Back;20;2000000;France;Ligue 1;Paris Saint-Germain;France;Ligue 1;ESTAC Troyes;3000000
1204;Daniel Mancini;Right Winger;26;2000000;Greece;Super League 1;Aris Thessaloniki;Greece;Super League 1;Panathinaikos Athens;3000000
1205;Albert Grönbaek;Central Midfield;21;1000000;Denmark;Superligaen;Aarhus GF;Norway;Eliteserien;FK Bodø/Glimt;3000000
1206;Lucas Fasson;Centre-Back;21;1000000;Brazil;Série A;Club Athletico Paranaense;Russia;Premier Liga;Lokomotiv Moscow;3000000
1207;Leonardo Mancuso;Centre-Forward;30;2000000;Italy;Serie A;FC Empoli;Italy;Serie A;AC Monza;3000000
1208;Luca Valzania;Central Midfield;26;1000000;Italy;Serie A;Atalanta BC;Italy;Serie A;US Cremonese;3000000
1209;Veton Berisha;Centre-Forward;28;1000000;Sweden;Allsvenskan;Hammarby IF;Norway;Eliteserien;Molde FK;3000000
1210;Rasmus Carstensen;Right-Back;21;1000000;Denmark;Superligaen;Silkeborg IF;Belgium;Jupiler Pro League;KRC Genk;3000000
1211;Nicolai Vallys;Attacking Midfield;25;1000000;Denmark;Superligaen;Silkeborg IF;Denmark;Superligaen;Bröndby IF;3000000
1212;Matteo Tramoni;Left Winger;22;2000000;Italy;Serie B;Cagliari Calcio;Italy;Serie B;Pisa Sporting Club;3000000
1213;Gui Guedes;Central Midfield;20;500k;Portugal;Liga Portugal;Vitória Guimarães SC;Spain;LaLiga;UD Almería;3000000
1214;Mario Mitaj;Left-Back;19;500k;Greece;Super League 1;AEK Athens;Russia;Premier Liga;Lokomotiv Moscow;3000000
1215;Alan Matturro;Centre-Back;18;1000000;Uruguay;Primera División Apertura;Defensor Sporting Club;Italy;Serie B;Genoa CFC;3000000
1216;Dmytro Riznyk;Goalkeeper;24;2000000;Ukraine;Premier Liga;Vorskla Poltava;Ukraine;Premier Liga;Shakhtar Donetsk;3000000
1217;Ishaq Abdulrazak;Right Midfield;20;3000000;Sweden;Allsvenskan;IFK Norrköping;Belgium;Jupiler Pro League;RSC Anderlecht;3000000
1218;Roberto Fernández;Centre-Back;22;1000000;Paraguay;Primera División Clausura;Club Guaraní;Russia;Premier Liga;Dynamo Moscow;3000000
1219;Joaquim;Centre-Back;24;500k;Brazil;Série A;Cuiabá Esporte Clube (MT);Brazil;Paulistão A1 - Primeira fase;Santos FC;3000000
1220;Luca Zanimacchia;Right Winger;23;2000000;Italy;Serie C - A;Juventus Next Gen;Italy;Serie A;US Cremonese;3000000
1221;Vivaldo;Centre-Forward;17;-;Portugal;Without League;Sporting CP U17;Italy;Primavera 1;Udinese Primavera;3000000
94;Lucas Ocampos;Left Winger;28;25000000;Spain;LaLiga;Sevilla FC;Netherlands;Eredivisie;Ajax Amsterdam;4000000
164;Arthur Melo;Central Midfield;26;18000000;Italy;Serie A;Juventus FC;England;Premier League;Liverpool FC;4000000
186;Destiny Udogie;Left-Back;19;17000000;Italy;Serie A;Hellas Verona;Italy;Serie A;Udinese Calcio;4000000
294;João Pedro;Centre-Forward;30;12000000;Italy;Serie B;Cagliari Calcio;Turkey;Süper Lig;Fenerbahce;4000000
295;Idrissa Gueye;Central Midfield;32;12000000;France;Ligue 1;Paris Saint-Germain;England;Premier League;Everton FC;4000000
330;Nicolás Tagliafico;Left-Back;29;11000000;Netherlands;Eredivisie;Ajax Amsterdam;France;Ligue 1;Olympique Lyon;4000000
360;Kristjan Asllani;Defensive Midfield;20;10000000;Italy;Serie A;FC Empoli;Italy;Serie A;Inter Milan;4000000
361;Wilfried Gnonto;Left Winger;18;10000000;Switzerland;Super League;FC Zürich;England;Premier League;Leeds United;4000000
362;Mahmoud Trezeguet;Left Winger;27;10000000;England;Premier League;Aston Villa;Turkey;Süper Lig;Trabzonspor;4000000
363;Hugo Duro;Centre-Forward;22;10000000;Spain;LaLiga;Getafe CF;Spain;LaLiga;Valencia CF;4000000
417;Anders Dreyer;Right Winger;24;9000000;Denmark;Superligaen;FC Midtjylland;Belgium;Jupiler Pro League;RSC Anderlecht;4000000
440;Giulio Maggiore;Central Midfield;24;8000000;Italy;Serie A;Spezia Calcio;Italy;Serie A;US Salernitana 1919;4000000
460;Denis Bouanga;Left Winger;27;8000000;France;Ligue 2;AS Saint-Étienne;United States;MLS;Los Angeles FC;4000000
461;Wanderson;Left Winger;28;8000000;Russia;Premier Liga;FK Krasnodar;Brazil;Campeonato Gaúcho;Sport Club Internacional;4000000
522;Ui-jo Hwang;Centre-Forward;29;7000000;France;Ligue 2;FC Girondins Bordeaux;England;Premier League;Nottingham Forest;4000000
523;Fabien Centonze;Right-Back;26;7000000;France;Ligue 2;FC Metz;France;Ligue 1;FC Nantes;4000000
524;Toby Alderweireld;Centre-Back;33;7000000;Qatar;Stars League;Al-Duhail SC;Belgium;Jupiler Pro League;Royal Antwerp FC;4000000
571;Ridvan Yilmaz;Left-Back;21;6000000;Turkey;Süper Lig;Besiktas JK;Scotland;Premiership;Rangers FC;4000000
602;Valentin Rosier;Right-Back;25;6000000;Portugal;Liga Portugal;Sporting CP;Turkey;Süper Lig;Besiktas JK;4000000
603;Anel Ahmedhodzic;Centre-Back;23;6000000;Sweden;Allsvenskan;Malmö FF;England;Championship;Sheffield United;4000000
604;Junior Messias;Right Winger;31;6000000;Italy;Serie C - C;FC Crotone;Italy;Serie A;AC Milan;4000000
605;Franco Cristaldo;Attacking Midfield;26;6000000;Argentina;Liga Profesional;CA Huracán;Brazil;Campeonato Gaúcho;Grêmio Foot-Ball Porto Alegrense;4000000
606;Javairô Dilrosun;Left Winger;24;6000000;Germany;Bundesliga;Hertha BSC;Netherlands;Eredivisie;Feyenoord Rotterdam;4000000
607;Miguel Gutiérrez;Left-Back;21;6000000;Spain;LaLiga;Real Madrid;Spain;LaLiga;Girona FC;4000000
608;Matías Vargas;Left Winger;25;6000000;Spain;LaLiga;RCD Espanyol Barcelona;China;Super League;Shanghai Port;4000000
609;Julián Araujo;Right-Back;21;6000000;United States;MLS;Los Angeles Galaxy;Spain;Primera Federación - Gr. II;FC Barcelona Atlètic;4000000
712;Calvin Ramsay;Right-Back;18;5000000;Scotland;Premiership;Aberdeen FC;England;Premier League;Liverpool FC;4000000
713;Hélder Costa;Right Winger;28;5000000;England;Premier League;Leeds United;Saudi Arabia;Saudi Pro League;Al-Ittihad Club (Jeddah);4000000
714;Ignatius Ganago;Centre-Forward;23;5000000;France;Ligue 1;RC Lens;France;Ligue 1;FC Nantes;4000000
715;Petar Musa;Centre-Forward;24;5000000;Czech Republic;Fortuna Liga;SK Slavia Prague;Portugal;Liga Portugal;Boavista FC;4000000
716;Johann Lepenant;Defensive Midfield;19;5000000;France;Ligue 2;SM Caen;France;Ligue 1;Olympique Lyon;4000000
717;Ezequiel Ponce;Centre-Forward;25;5000000;Russia;Premier Liga;Spartak Moscow;Spain;LaLiga;Elche CF;4000000
718;Andrea Carboni;Centre-Back;21;5000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;AC Monza;4000000
719;Jean Onana;Defensive Midfield;22;5000000;France;Ligue 2;FC Girondins Bordeaux;France;Ligue 1;RC Lens;4000000
720;Georgios Giakoumakis;Centre-Forward;28;5000000;Scotland;Premiership;Celtic FC;United States;MLS;Atlanta United FC;4000000
823;Thiago Borbas;Centre-Forward;20;4000000;Uruguay;Primera División Apertura;Atletico River Plate Montevideo;Brazil;Paulistão A1 - Primeira fase;Red Bull Bragantino;4000000
825;Rodrigo Aguirre;Centre-Forward;27;2000000;Ecuador;Serie A Segunda Etapa;LDU Quito;Mexico;Liga MX Clausura;CF Monterrey;4000000
826;Amar Fatah;Left Winger;18;350k;Sweden;Allsvenskan;AIK Solna;France;Ligue 1;ESTAC Troyes;4000000
827;Renzo López;Centre-Forward;28;1000000;Argentina;Liga Profesional;CA Central Córdoba (SdE);Saudi Arabia;Saudi Pro League;Al-Batin FC;4000000
831;Daniel-Kofi Kyereh;Attacking Midfield;26;3000000;Germany;2. Bundesliga;FC St. Pauli;Germany;Bundesliga;SC Freiburg;4000000
832;Mateo Cassierra;Centre-Forward;25;4000000;Russia;Premier Liga;FC Sochi;Russia;Premier Liga;Zenit St. Petersburg;4000000
833;Denis Vavro;Centre-Back;26;3000000;Italy;Serie A;SS Lazio;Denmark;Superligaen;FC Copenhagen;4000000
834;Allahyar Sayyadmanesh;Centre-Forward;21;2000000;Turkey;Süper Lig;Fenerbahce;England;Championship;Hull City;4000000
835;Emirhan Ilkhan;Central Midfield;18;3000000;Turkey;Süper Lig;Besiktas JK;Italy;Serie A;Torino FC;4000000
836;Edu Expósito;Central Midfield;26;4000000;Spain;LaLiga2;SD Eibar;Spain;LaLiga;RCD Espanyol Barcelona;4000000
837;Marcão;Centre-Forward;28;4000000;China;Super League;Wuhan Three Towns;Saudi Arabia;Without League;Al-Ahli Saudi FC;4000000
838;Gastón Ávila;Centre-Back;20;4000000;Argentina;Liga Profesional;CA Boca Juniors;Belgium;Jupiler Pro League;Royal Antwerp FC;4000000
839;Jamie Leweling;Second Striker;21;4000000;Germany;2. Bundesliga;SpVgg Greuther Fürth;Germany;Bundesliga;1.FC Union Berlin;4000000
840;Patrick Berg;Defensive Midfield;24;4000000;France;Ligue 1;RC Lens;Norway;Eliteserien;FK Bodø/Glimt;4000000
841;Paxten Aaronson;Attacking Midfield;19;4000000;United States;MLS;Philadelphia Union;Germany;Bundesliga;Eintracht Frankfurt;4000000
883;Alexandro Bernabéi;Left-Back;21;3000000;Argentina;Liga Profesional;Club Atlético Lanús;Scotland;Premiership;Celtic FC;4000000
884;Gustavo del Prete;Centre-Forward;26;3000000;Argentina;Liga Profesional;Club Estudiantes de La Plata;Mexico;Liga MX Clausura;UNAM Pumas;4000000
886;Bruma;Left Winger;28;3000000;Netherlands;Eredivisie;PSV Eindhoven;Turkey;Süper Lig;Fenerbahce;4000000
887;Nicolás Marichal;Centre-Back;21;1000000;Uruguay;Primera División Clausura;Club Nacional;Russia;Premier Liga;Dynamo Moscow;4000000
888;Pablo Solari;Right Winger;21;1000000;Chile;Primera División;CSD Colo Colo;Argentina;Liga Profesional;CA River Plate;4000000
891;Veljko Birmancevic;Left Winger;24;3000000;Sweden;Allsvenskan;Malmö FF;France;Ligue 1;FC Toulouse;4000000
892;Jens Odgaard;Centre-Forward;23;2000000;Italy;Serie A;US Sassuolo;Netherlands;Eredivisie;AZ Alkmaar;4000000
896;Michele Di Gregorio;Goalkeeper;24;3000000;Italy;Serie A;Inter Milan;Italy;Serie A;AC Monza;4000000
897;Anass Zaroury;Left Winger;21;1000000;Belgium;Jupiler Pro League;RSC Charleroi;England;Championship;Burnley FC;4000000
898;Jens Stage;Central Midfield;25;3000000;Denmark;Superligaen;FC Copenhagen;Germany;Bundesliga;SV Werder Bremen;4000000
899;Yasin Ayari;Central Midfield;19;4000000;Sweden;Allsvenskan;AIK Solna;England;Premier League;Brighton & Hove Albion;4000000
900;Hugo Cuypers;Centre-Forward;25;3000000;Belgium;Jupiler Pro League;KV Mechelen;Belgium;Jupiler Pro League;KAA Gent;4000000
901;Michel Aebischer;Central Midfield;25;3000000;Switzerland;Super League;BSC Young Boys;Italy;Serie A;Bologna FC 1909;4000000
902;Dogukan Sinik;Left Winger;23;4000000;Turkey;Süper Lig;Antalyaspor;England;Championship;Hull City;4000000
903;Alan Virginius;Left Winger;19;2000000;France;Ligue 2;FC Sochaux-Montbéliard;France;Ligue 1;LOSC Lille;4000000
904;Filippo Melegoni;Central Midfield;23;2000000;Italy;Serie A;Atalanta BC;Italy;Serie B;Genoa CFC;4000000
905;Benson Manuel Hedilazio;Right Winger;25;3000000;Belgium;Jupiler Pro League;Royal Antwerp FC;England;Championship;Burnley FC;4000000
906;Alexis Duarte;Centre-Back;22;4000000;Paraguay;Primera División Apertura;Club Cerro Porteño;Russia;Premier Liga;Spartak Moscow;4000000
907;Enzo Ebosse;Centre-Back;23;2000000;France;Ligue 1;Angers SCO;Italy;Serie A;Udinese Calcio;4000000
908;André Franco;Attacking Midfield;24;3000000;Portugal;Liga Portugal;GD Estoril Praia;Portugal;Liga Portugal;FC Porto;4000000
909;Nicolás Fernández Mercau;Left-Back;22;2000000;Argentina;Liga Profesional;CA San Lorenzo de Almagro;Spain;LaLiga;Elche CF;4000000
910;Jaka Bijol;Centre-Back;23;3000000;Russia;Premier Liga;CSKA Moscow;Italy;Serie A;Udinese Calcio;4000000
911;Santiago Gimenez;Centre-Forward;21;4000000;Mexico;Liga MX Clausura;CD Cruz Azul;Netherlands;Eredivisie;Feyenoord Rotterdam;4000000
912;Juan Cabal;Centre-Back;21;800k;Colombia;Liga DIMAYOR II;Atlético Nacional;Italy;Serie A;Hellas Verona;4000000
1184;Bosko Sutalo;Centre-Back;22;3000000;Italy;Serie A;Atalanta BC;Croatia;SuperSport HNL;GNK Dinamo Zagreb;4000000
1185;Sotiris Alexandropoulos;Central Midfield;20;3000000;Greece;Super League 1;Panathinaikos Athens;Portugal;Liga Portugal;Sporting CP;4000000
71;Renan Lodi;Left-Back;24;30000000;Spain;LaLiga;Atlético de Madrid;England;Premier League;Nottingham Forest;5000000
77;Giacomo Raspadori;Second Striker;22;28000000;Italy;Serie A;US Sassuolo;Italy;Serie A;SSC Napoli;5000000
93;Pedro Porro;Right-Back;23;25000000;Portugal;Liga Portugal;Sporting CP;England;Premier League;Tottenham Hotspur;5000000
110;Viktor Tsygankov;Right Winger;25;22000000;Ukraine;Premier Liga;Dynamo Kyiv;Spain;LaLiga;Girona FC;5000000
135;Pablo Sarabia;Right Winger;30;20000000;France;Ligue 1;Paris Saint-Germain;England;Premier League;Wolverhampton Wanderers;5000000
243;Diego Rossi;Left Winger;24;14000000;United States;MLS;Los Angeles FC;Turkey;Süper Lig;Fenerbahce;5000000
264;Salih Özcan;Defensive Midfield;24;13000000;Germany;Bundesliga;1. FC Köln;Germany;Bundesliga;Borussia Dortmund;5000000
293;Fábio Carvalho;Attacking Midfield;19;12000000;England;Premier League;Fulham FC;England;Premier League;Liverpool FC;5000000
358;Mislav Orsic;Left Winger;30;10000000;Croatia;SuperSport HNL;GNK Dinamo Zagreb;England;Premier League;Southampton FC;5000000
359;Gianluca Caprari;Second Striker;28;10000000;Italy;Serie A;UC Sampdoria;Italy;Serie A;Hellas Verona;5000000
