;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
662;Filip Uremovic;Centre-Back;25;6000000;Russia;1.Division;Rubin Kazan;Germany;Bundesliga;Hertha BSC;0
665;Szymon Zurkowski;Central Midfield;25;5000000;Italy;Serie A;ACF Fiorentina;Italy;Serie A;Spezia Calcio;0
681;Cristian Pavón;Left Winger;26;5000000;Argentina;Liga Profesional;CA Boca Juniors;Brazil;Série A;Clube Atlético Mineiro;0
759;Héctor Herrera;Central Midfield;32;5000000;Spain;LaLiga;Atlético de Madrid;United States;MLS;Houston Dynamo FC;0
760;Amos Pieper;Centre-Back;24;5000000;Germany;2. Bundesliga;Arminia Bielefeld;Germany;Bundesliga;SV Werder Bremen;0
761;Anthony Nwakaeme;Left Winger;33;5000000;Turkey;Süper Lig;Trabzonspor;Saudi Arabia;Saudi Pro League;Al-Fayha FC;0
762;Joselu;Centre-Forward;32;5000000;Spain;LaLiga2;Deportivo Alavés;Spain;LaLiga;RCD Espanyol Barcelona;0
763;Zelimkhan Bakaev;Right Winger;26;5000000;Russia;Premier Liga;Spartak Moscow;Russia;Premier Liga;Zenit St. Petersburg;0
764;Nemanja Matić;Defensive Midfield;33;5000000;England;Premier League;Manchester United;Italy;Serie A;AS Roma;0
765;Yacine Brahimi;Left Winger;32;5000000;Qatar;Stars League;Al-Rayyan SC;Qatar;Stars League;Al-Gharafa SC;0
766;Sime Vrsaljko;Right-Back;30;5000000;Spain;LaLiga;Atlético de Madrid;Greece;Super League 1;Olympiacos Piraeus;0
767;David Ospina;Goalkeeper;33;5000000;Italy;Serie A;SSC Napoli;Saudi Arabia;Saudi Pro League;Al-Nassr FC;0
768;Sebastiano Esposito;Centre-Forward;20;5000000;Italy;Serie A;Inter Milan;Belgium;Jupiler Pro League;RSC Anderlecht;0
769;Jean Michaël Seri;Central Midfield;30;5000000;England;Premier League;Fulham FC;England;Championship;Hull City;0
770;Tom Lawrence;Left Winger;28;5000000;England;League One;Derby County;Scotland;Premiership;Rangers FC;0
771;Jeff Hendrick;Central Midfield;30;5000000;England;Premier League;Newcastle United;England;Championship;Reading FC;0
772;Carlos Salcedo;Centre-Back;28;5000000;Canada;MLS;Toronto FC;Mexico;Liga MX Clausura;FC Juárez;0
773;Benjamin Lecomte;Goalkeeper;31;5000000;Monaco;Ligue 1;AS Monaco;Spain;LaLiga;RCD Espanyol Barcelona;0
774;Ian Maatsen;Left-Back;20;5000000;England;Premier League 2;Chelsea FC U21;England;Championship;Burnley FC;0
775;Isaak Touré;Centre-Back;19;5000000;France;Ligue 1;Olympique Marseille;France;Ligue 1;AJ Auxerre;0
776;Yan Couto;Right-Back;20;5000000;England;Premier League;Manchester City;Spain;LaLiga;Girona FC;0
777;Henrique Araújo;Centre-Forward;21;5000000;Portugal;Liga Portugal;SL Benfica;England;Championship;Watford FC;0
778;Gabriel Pires;Central Midfield;28;5000000;Portugal;Liga Portugal;SL Benfica;Brazil;Série A;Botafogo de Futebol e Regatas;0
779;Soualiho Meïté;Central Midfield;28;5000000;Portugal;Liga Portugal;SL Benfica;Italy;Serie A;US Cremonese;0
780;Rúben Vinagre;Left-Back;23;5000000;Portugal;Liga Portugal;Sporting CP;England;Premier League;Everton FC;0
781;Shon Weissman;Centre-Forward;26;5000000;Spain;LaLiga;Real Valladolid CF;Spain;LaLiga2;Granada CF;0
782;José Ángel Carmona;Right-Back;20;5000000;Spain;LaLiga;Sevilla FC;Spain;LaLiga;Elche CF;0
783;Oliver Abildgaard;Defensive Midfield;26;5000000;Scotland;Premiership;Celtic FC;Italy;Serie A;Hellas Verona;0
784;Arthur Masuaku;Left-Back;28;5000000;England;Premier League;West Ham United;Turkey;Süper Lig;Besiktas JK;0
785;Frédéric Guilbert;Right-Back;28;5000000;England;Premier League;Aston Villa;France;Ligue 1;RC Strasbourg Alsace;0
786;Marvelous Nakamba;Defensive Midfield;29;5000000;England;Premier League;Aston Villa;England;Championship;Luton Town;0
787;Roko Simic;Centre-Forward;19;5000000;Austria;Bundesliga;Red Bull Salzburg;Switzerland;Super League;FC Zürich;0
788;Kamil Piatkowski;Centre-Back;22;5000000;Austria;Bundesliga;Red Bull Salzburg;Belgium;Jupiler Pro League;KAA Gent;0
789;Simone Verdi;Attacking Midfield;30;5000000;Italy;Serie A;Torino FC;Italy;Serie A;Hellas Verona;0
790;Antonio Blanco;Defensive Midfield;22;5000000;Spain;LaLiga;Real Madrid;Spain;LaLiga;Cádiz CF;0
791;Anthony Nwakaeme;Left Winger;33;5000000;Turkey;Süper Lig;Trabzonspor;Saudi Arabia;Saudi Pro League;Al-Fayha FC;0
792;Riechedly Bazoer;Central Midfield;25;5000000;Netherlands;Eredivisie;Vitesse Arnhem;Netherlands;Eredivisie;AZ Alkmaar;0
793;Keylor Navas;Goalkeeper;36;5000000;France;Ligue 1;Paris Saint-Germain;England;Premier League;Nottingham Forest;0
794;Junior Dina Ebimbe;Right Midfield;21;5000000;France;Ligue 1;Paris Saint-Germain;Germany;Bundesliga;Eintracht Frankfurt;0
795;Jon Karrikaburu;Centre-Forward;20;5000000;Spain;LaLiga;Real Sociedad;Spain;LaLiga2;CD Leganés;0
796;Jeff Hendrick;Central Midfield;30;5000000;England;Premier League;Newcastle United;England;Championship;Reading FC;0
797;Pierluigi Gollini;Goalkeeper;27;5000000;Italy;Serie A;Atalanta BC;Italy;Serie A;SSC Napoli;0
798;Jean Michaël Seri;Central Midfield;30;5000000;England;Premier League;Fulham FC;England;Championship;Hull City;0
799;Rodrigo Muniz;Centre-Forward;21;5000000;England;Premier League;Fulham FC;England;Championship;Middlesbrough FC;0
800;Nemanja Matić;Defensive Midfield;33;5000000;England;Premier League;Manchester United;Italy;Serie A;AS Roma;0
801;Joselu;Centre-Forward;32;5000000;Spain;LaLiga2;Deportivo Alavés;Spain;LaLiga;RCD Espanyol Barcelona;0
802;Fernando Pacheco;Goalkeeper;30;5000000;Spain;LaLiga2;Deportivo Alavés;Spain;LaLiga;UD Almería;0
803;Sorba Thomas;Right Winger;24;5000000;England;Championship;Huddersfield Town;England;Championship;Blackburn Rovers;0
804;Mads Bech Sörensen;Centre-Back;23;5000000;England;Premier League;Brentford FC;France;Ligue 1;OGC Nice;0
